
Identifier: 500 | Product: Product_name_0 | Pieces: 9 | Price per piece: 10 | Total row: 90 | Category: BAKERY | Tax rate: 0.05 | Tax value: 4.5
Identifier: 954 | Product: Product_name_1 | Pieces: 7 | Price per piece: 2 | Total row: 14 | Category: FRUIT_AND_VEGETABLES | Tax rate: 0.05 | Tax value: 0.7
Identifier: 616 | Product: Product_name_2 | Pieces: 9 | Price per piece: 21 | Total row: 189 | Category: CLEANING_PRODUCTS | Tax rate: 0.2 | Tax value: 37.8
Identifier: 482 | Product: Product_name_3 | Pieces: 15 | Price per piece: 23 | Total row: 345 | Category: FRESH_MEAT | Tax rate: 0.05 | Tax value: 17.25
Identifier: 630 | Product: Product_name_4 | Pieces: 5 | Price per piece: 2 | Total row: 10 | Category: FRUIT_AND_VEGETABLES | Tax rate: 0.05 | Tax value: 0.5
Identifier: 799 | Product: Product_name_5 | Pieces: 9 | Price per piece: 3 | Total row: 27 | Category: CLEANING_PRODUCTS | Tax rate: 0.2 | Tax value: 5.4
Identifier: 794 | Product: Product_name_6 | Pieces: 3 | Price per piece: 10 | Total row: 30 | Category: CLEANING_PRODUCTS | Tax rate: 0.2 | Tax value: 6.0
Identifier: 524 | Product: Product_name_7 | Pieces: 14 | Price per piece: 3 | Total row: 42 | Category: TOILETRIES | Tax rate: 0.2 | Tax value: 8.4
Identifier: 210 | Product: Product_name_8 | Pieces: 11 | Price per piece: 3 | Total row: 33 | Category: CLEANING_PRODUCTS | Tax rate: 0.2 | Tax value: 6.6
Identifier: 879 | Product: Product_name_9 | Pieces: 10 | Price per piece: 22 | Total row: 220 | Category: FRESH_MEAT | Tax rate: 0.05 | Tax value: 11.0
Identifier: 596 | Product: Product_name_10 | Pieces: 10 | Price per piece: 8 | Total row: 80 | Category: TOILETRIES | Tax rate: 0.2 | Tax value: 16.0
Identifier: 86 | Product: Product_name_11 | Pieces: 6 | Price per piece: 11 | Total row: 66 | Category: HOME | Tax rate: 0.2 | Tax value: 13.2
Identifier: 357 | Product: Product_name_12 | Pieces: 13 | Price per piece: 25 | Total row: 325 | Category: FRESH_MEAT | Tax rate: 0.05 | Tax value: 16.25
